2025-07-23 10:48:37 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 10:48:38 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 10:48:38 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 10:48:38 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 10:48:38 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 10:48:38 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 10:48:38 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 11:01:42 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 11:01:42] "GET / HTTP/1.1" 200 -
2025-07-23 11:01:42 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 11:01:42] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-07-23 11:01:56 | DEBUG    | root                 | chControl            | Choice changed to 2
2025-07-23 11:01:56 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 4
2025-07-23 11:01:56 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 4 = 3
2025-07-23 11:01:56 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 11:01:56] "POST / HTTP/1.1" 200 -
2025-07-23 14:27:59 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 14:27:59 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 14:27:59 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 14:27:59 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 14:28:00 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 14:28:00 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 14:28:00 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 14:28:06 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 14:28:06] "GET / HTTP/1.1" 200 -
2025-07-23 14:28:12 | DEBUG    | root                 | chControl            | Choice changed to 1
2025-07-23 14:28:12 | DEBUG    | root                 | get                  | Cache MISS for calculator: 3 + 5
2025-07-23 14:28:12 | DEBUG    | root                 | set                  | Cache STORED for calculator: 3 + 5 = [8.0]
2025-07-23 14:28:12 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 14:28:12] "POST / HTTP/1.1" 200 -
2025-07-23 15:39:34 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 15:39:44 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 15:39:45 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 15:39:45 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 15:39:45 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 15:39:45 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 15:40:33 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 15:40:33 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 15:40:33 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 15:40:33 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 15:40:33] "GET / HTTP/1.1" 200 -
2025-07-23 15:40:33 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 15:40:33] "GET / HTTP/1.1" 200 -
2025-07-23 15:40:53 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 15:41:03 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 15:41:03 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 15:41:03 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 15:41:03 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 15:41:03 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 15:45:13 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 15:45:13 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 15:45:13 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 15:45:13 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 15:45:13 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 15:45:13 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 15:45:13 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 15:46:57 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 15:47:02 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 15:47:02 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 15:47:02 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 15:47:02 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 15:47:03 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 15:47:28 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 15:47:28 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 15:47:28 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:11:25 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:11:33 | INFO     | root                 | authenticate_console | User user authenticated successfully with role user
2025-07-23 16:11:33 | INFO     | werkzeug             | _log                 | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5000
2025-07-23 16:11:33 | INFO     | werkzeug             | _log                 | [33mPress CTRL+C to quit[0m
2025-07-23 16:11:33 | INFO     | werkzeug             | _log                 |  * Restarting with stat
2025-07-23 16:11:34 | INFO     | root                 | init_database        | Database initialized successfully
2025-07-23 16:11:34 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:11:34 | WARNING  | werkzeug             | _log                 |  * Debugger is active!
2025-07-23 16:11:34 | INFO     | werkzeug             | _log                 |  * Debugger PIN: 137-131-109
2025-07-23 16:12:00 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:12:00 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:12:00] "GET / HTTP/1.1" 200 -
2025-07-23 16:13:13 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:13:13 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 51
2025-07-23 16:13:36 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:13:36 | INFO     | werkzeug             | _log                 | 127.0.0.1 - - [23/Jul/2025 16:13:36] "GET / HTTP/1.1" 200 -
2025-07-23 16:13:47 | INFO     | root                 | _load_auth_state     | Loaded persisted authentication for user (user)
2025-07-23 16:13:47 | DEBUG    | root                 | get                  | Cache MISS for fibonacci: 5
2025-07-23 16:13:47 | DEBUG    | root                 | set                  | Cache STORED for fibonacci: 5 = 5
